confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,394,,83A-abi,{},,,53524,53524
,,394,,83A-abu,{},,,46627,46627
,,394,,83A-acg,{},,,53185,53185
,,394,,83A-acl,{},,,34970,34970
,,394,,83A-acm,{},,,50812,50812
,,394,,83A-adi,{},,,32610,32610
,,394,,83A-adz,{},,,67395,67395
,,394,,83A-agh,{},,,33108,33108
,,394,,83A-agc,{},,,42532,42532
,,394,,83A-agd,{},,,75629,75629
,,394,,83A-aja,{},,,35286,35286
,,394,,83A-akn,{},,,32463,32463
,,394,,83A-alb,{},,,37817,37817
,,394,,83A-als,{},,,50056,50056
,,394,,83A-aln,{},,,43300,43300
,,394,,83A-ama,{},,,44072,44072
,,394,,83A-aml,{},,,44960,44960
,,394,,83A-amq,{},,,43525,43525
,,394,,83A-ami,{},,,42480,42480
,,394,,83A-amo,{},,,33019,33019
,,394,,83A-anj,{},,,44465,44465
,,394,,83A-ane,{},,,47332,47332
,,394,,83A-anc,{},,,36402,36402
,,394,,83A-ann,{},,,47451,47451
,,394,,83A-anu,{},,,72018,72018
,,394,,83A-ayi,{},,,32485,32485
,,394,,83A-aeg,{},,,36920,36920
,,394,,83A-arg,{},,,36947,36947
,,394,,83A-arq,{},,,36974,36974
,,394,,83A-arj,{},,,62257,62257
,,394,,83A-ams,{},,,36997,36997
,,394,,83A-amr,{},,,37016,37016
,,394,,83A-asy,{},,,37040,37040
,,394,,83A-aab,{},,,47018,47018
,,394,,83A-arp,{},,,46997,46997
,,394,,83A-ara,{},,,53223,53223
,,394,,83A-ari,{},,,56638,56638
,,394,,83A-alk,{},,,43711,43711
,,394,,83A-aro,{},,,44902,44902
,,394,,83A-ata,{},,,42423,42423
,,394,,83A-au,{},,,46955,46955
,,394,,83A-avk,{},,,60704,60704
,,394,,83A-ayw,{},,,47411,47411
,,394,,83A-ayo,{},,,57842,57842
,,394,,83A-ayr,{},,,57858,57858
,,394,,83A-bbl,{},,,33367,33367
,,394,,83A-bab,{},,,33111,33111
,,394,,83A-baf,{},,,33085,33085
,,394,,83A-bgs,{},,,56646,56646
,,394,,83A-bag,{},,,35407,35407
,,394,,83A-bgr,{},,,35470,35470
,,394,,83A-bai,{},,,41706,41706
,,394,,83A-baj,{},,,42925,42925
,,394,,83A-bwc,{},,,67439,67439
,,394,,83A-bak,{},,,32313,32313
,,394,,83A-bka,{},,,35297,35297
,,394,,83A-bku,{},,,33186,33186
,,394,,83A-blg,{},,,42563,42563
,,394,,83A-blz,{},,,57104,57104
,,394,,83A-bvi,{},,,44055,44055
,,394,,83A-bgz,{},,,74026,74026
,,394,,83A-bnk,{},,,33218,33218
,,394,,83A-bnn,{},,,44364,44364
,,394,,83A-bbu,{},,,32386,32386
,,394,,83A-bae,{},,,57271,57271
,,394,,83A-bar,{},,,35036,35036
,,394,,83A-bas,{},,,56380,56380
,,394,,83A-bkr,{},,,43049,43049
,,394,,83A-bto,{},,,43076,43076
,,394,,83A-ble,{},,,32494,32494
,,394,,83A-baq,{},,,53089,53089
,,394,,83A-bco,{},,,49544,49544
,,394,,83A-blu,{},,,33677,33677
,,394,,83A-bse,{},,,35833,35833
,,394,,83A-bch,{},,,35917,35917
,,394,,83A-bfg,{},,,35891,35891
,,394,,83A-bma,{},,,57136,57136
